198	992193	1019506	913576	84422
199	992192	1019454	913598	84450
200	992201	1019377	913608	84445
201	992194	1019380	913633	84454
202	992174	1019446	913677	84419
203	992214	1019483	913602	84420
204	992185	1019517	913572	84341
205	992194	1019384	913576	84346
206	992143	1019448	913555	84314
207	992149	1019364	913515	84304
208	992118	1019367	913586	84260
209	992165	1019495	913581	84275
210	992150	1019400	913566	84306
211	992117	1019470	913575	84277
212	992105	1019415	913547	84253
213	992068	1019479	913628	84268
214	992042	1019475	913621	84230
215	992094	1019546	913668	84191
216	992018	1019335	913539	84115
217	992071	1019413	913593	84110
218	992053	1019394	913592	84082
219	992116	1019462	913647	84123
220	992052	1019418	913621	84133
221	992043	1019400	913567	84159
222	992072	1019349	913540	84093
223	992043	1019365	913533	84056
224	991990	1019253	913447	84035
225	991990	1019243	913438	84025
226	991962	1019281	913373	84029
227	991890	1019232	913420	84033
228	991909	1019173	913383	83962
229	991976	1019254	913443	83967
230	992050	1019257	913463	83992
231	991961	1019302	913452	84047
232	991932	1019220	913398	83975
233	991887	1019153	913400	83924
234	991901	1019205	913347	83944
235	991861	1019197	913390	83863
236	991805	1019084	913299	83833
237	991864	1019071	913341	83873
238	991816	1019167	913369	83907
239	991816	1019165	913376	83837
240	991852	1019129	913336	83836
241	991878	1019193	913268	83775
242	991785	1019213	913358	83760
243	991802	1019130	913283	83780
244	991762	1019037	913282	83696
245	991769	1019014	913266	83746
246	991684	1019045	913243	83713
247	991726	1019105	913277	83743
248	991784	1019107	913237	83758
249	991738	1019091	913306	83744
250	991682	1019047	913273	83702
251	991742	1019089	913219	83686
252	991692	1018903	913215	83673
253	991728	1018927	913270	83641
254	991714	1019046	913210	83603
255	991742	1018978	913223	83625
256	991744	1019063	913299	83596
257	991785	1019118	913341	83613
258	991707	1019092	913262	83649
259	991679	1019026	913222	83603
260	991646	1018903	913151	83604
261	991584	1018908	913173	83595
262	991559	1018934	913173	83559
263	991538	1018902	913170	83526
264	991508	1018822	913132	83502
265	991517	1018866	913133	83494
266	991532	1018788	913052	83459
267	991485	1018864	913088	83510
268	991506	1018743	913036	83515
269	991472	1018846	913031	83465
270	991399	1018808	913016	83446
271	991347	1018663	912959	83438
272	991295	1018585	912904	83396
273	991250	1018632	912854	83403
274	991281	1018660	912873	83346
275	991286	1018544	912852	83380
276	991236	1018464	912825	83264
277	991283	1018497	912815	83346
278	991260	1018604	912827	83358
279	991289	1018742	912873	83331
280	991345	1018699	912833	83264
281	991344	1018675	912845	83231
282	991255	1018523	912819	83223
283	991181	1018407	912752	83208
284	991140	1018500	912717	83166
285	991137	1018491	912719	83171
286	991153	1018398	912747	83214
287	991107	1018378	912731	83210
288	991007	1018387	912636	83150
289	990942	1018253	912555	83114
290	990879	1018298	912454	83007
291	990831	1018273	912493	83056
292	990795	1018203	912473	82980
293	990712	1018223	912496	82976
294	990735	1018059	912369	82990
295	990685	1018063	912338	83019
296	990723	1017966	912357	82985
297	990659	1017983	912356	82995
298	990570	1017992	912252	82949
299	990569	1017902	912206	82922
300	990505	1017819	912142	82918
301	990457	1017883	912078	82877
